,订货时间,,,,人民币,,,,,箱子大小（cm）,箱子重量（kg）,快递公司,快递单号
,11/29/2025,,,货款,1773.6,,,,箱子1,25-50-35,4,顺丰快递,SF0254633344372
,发货时间,,,总数量（个）,7,,,,箱子2,,,,
,11/29/2025,,,共支付,1801.6,,,,箱子3,,,,
,到货时间,,,总货款,1773.6,,,,箱子4,,,,
,12/03/2025,,,快递费,28,,,,,,,,
,备注,,,,,,,,,,,,
,,,,,,,,,,,,,
编码,图,图名,产品名称,产品英文名,产品变体 （例：颜色）,变体值（例：蓝色，粉色）,产品数量,单价（元）,折扣,总价（元）,是否是新品,供货商,
Barcode,Photo,PhotoName,NameCN,Name,Option1 Name,Option1 Value,Variant Inventory,PriceCN,Discount,SalePriceCN,IfNew,Vendor,
,"=DISPIMG(""ID_BBFF14BA9DA4410A99AFC6F381B094CC"",1)",krphoto1.jepg,银杏叶贝雷帽,Ginkgo Leaf Beret,,,4,289,0.6,357.6,Y,KR,
,"=DISPIMG(""ID_374643C655A54361A890CB49F49D2E12"",1)",krphoto2.jepg,紫灰色羊毛表编织手提包,Purple-Grey Wool Knit Tote Bag,,,1,1200,0.6,720,Y,KR,
,"=DISPIMG(""ID_C05ADA7CC1E94B27AAF55F2700990410"",1)",krphoto3.jepg,兔子灯 小号,Bunny Lamp Small,Size,S,2,580,0.6,696,Y,KR,
